#model f_max f_1 f_2i f_2 f_m0
GNH3-q10-M1200  1.444   1.45    2.19    2.15    1.12
GNH3-q10-M1225  1.439   1.57    2.24    2.28    1.09
GNH3-q10-M1250  1.439   1.60    2.24    2.30    1.06
GNH3-q10-M1275  1.510   1.65    2.36    2.33    1.04
GNH3-q10-M1300  1.515   1.65    2.36    2.46    1.03
GNH3-q10-M1325  1.539   1.68    2.38    2.46    1.00
GNH3-q10-M1350  1.560   1.70    2.45    2.52    0.97
GNH3-q10-M1375  1.552   1.80    2.48    2.72    0.86
GNH3-q10-M1400  1.570   1.90    2.50    2.78    0.80
GNH3-q09-M1300  1.420   1.50    2.38    2.38    1.05
GNH3-q08-M1275  1.268   1.20    2.23    2.23    1.09
ALF2-q10-M1200  1.601   1.73    2.52    2.41    1.33
ALF2-q10-M1225  1.678   1.81    2.48    2.43    1.32
ALF2-q10-M1250  1.664   1.82    2.48    2.42    1.30
ALF2-q10-M1275  1.617   1.86    2.70    2.54    1.23
ALF2-q10-M1300  1.658   1.88    2.71    2.61    1.18
ALF2-q10-M1325  1.692   1.95    2.70    2.64    1.18
ALF2-q10-M1350  1.667   1.99    2.73    2.75    1.15
ALF2-q10-M1375  1.690   2.00    2.89    2.85    1.02
ALF2-q10-M1400  1.702   2.02    2.90    2.91    0.93
H4-q10-M1200    1.441   1.50    2.25    2.15    1.15
H4-q10-M1225    1.453   1.60    2.26    2.18    1.14
H4-q10-M1250    1.473   1.60    2.29    2.22    1.12
H4-q10-M1275    1.464   1.64    2.37    2.37    1.10
H4-q10-M1300    1.489   1.70    2.38    2.37    1.09
H4-q10-M1325    1.494   1.70    2.42    2.47    1.06
H4-q10-M1350    1.529   1.75    2.45    2.49    1.04
H4-q10-M1375    1.525   1.85    2.51    2.54    1.00
H4-q10-M1400    1.537   1.89    2.53    2.58    0.94
SLy-q10-M1200   1.948   1.84    3.11    3.00    1.36
SLy-q10-M1225   1.918   1.90    3.15    3.04    1.36
SLy-q10-M1250   1.947   2.00    3.23    3.00    1.31
SLy-q10-M1275   1.971   2.05    3.29    3.13    1.27
SLy-q10-M1300   1.954   2.13    3.34    3.22    1.26
SLy-q10-M1325   1.946   2.25    3.35    3.22    1.17
SLy-q10-M1350   1.991   2.37    3.37    3.29    1.11
SLy-q09-M1300   1.940   2.20    3.30    3.11    1.29
SLy-q08-M1275   1.783   1.90    2.95    2.84    1.35
APR4-q10-M1200  1.959   1.90    3.21    3.02    1.43
APR4-q10-M1225  1.982   1.95    3.25    2.95    1.43
APR4-q10-M1250  1.992   2.00    3.30    3.04    1.40
APR4-q10-M1275  2.001   2.10    3.32    3.01    1.39
APR4-q10-M1300  2.035   2.17    3.36    3.14    1.36
APR4-q10-M1325  2.071   2.41    3.56    3.20    1.34
APR4-q10-M1350  2.056   2.52    3.60    3.25    1.31
APR4-q10-M1375  2.096   2.70    3.25    3.22    1.26
APR4-q10-M1400  2.109   2.85    3.37    3.28    1.19
LS220-q10-M1338 1.703   1.92    2.95    2.93    1.06
LS220-q10-M1372 1.699   2.05    2.95    3.09    0.88
